source_code,destination_code,price,duration_minutes,flight_number
PHX,JFK,197,252,UA6294
JFK,CLT,370,82,UA1071
CLT,JFK,384,80,B6736
JFK,IAH,423,266,NK9284
IAH,JFK,405,267,F98578
SFO,SEA,243,309,F97577
SEA,SFO,234,318,DL6861
SFO,LAS,322,169,F99391
LAS,SFO,341,175,AA7282
SFO,MCO,271,280,B67805
MCO,SFO,271,274,NK9598
SFO,MIA,414,303,AS5686
MIA,SFO,425,300,WN4150
SFO,PHX,159,265,UA2933
PHX,SFO,149,264,DL9869
SFO,CLT,328,207,F91485
CLT,SFO,339,210,B68679
SFO,IAH,227,132,DL430
IAH,SFO,213,137,NK845
SEA,LAS,383,203,AS6533
LAS,SEA,371,206,WN4594
SEA,MCO,376,94,B67480
MCO,SEA,360,91,NK1135
SEA,MIA,419,66,WN2236
MIA,SEA,399,64,AA7847
SEA,PHX,259,338,NK8416
PHX,SEA,258,344,AA8878
SEA,CLT,238,91,WN1699
CLT,SEA,235,87,UA5134
SEA,IAH,186,77,NK5603
IAH,SEA,182,72,F96376
LAS,MCO,402,220,AA5201
MCO,LAS,385,214,AS8393
LAS,MIA,416,151,DL559
MIA,LAS,426,157,NK4976
LAS,PHX,267,133,F92990
PHX,LAS,257,132,AA3075
LAS,CLT,444,172,NK4058
CLT,LAS,452,170,F97579
LAS,IAH,175,301,DL953
IAH,LAS,188,306,NK7487
MCO,MIA,236,285,UA7887
MIA,MCO,244,289,NK6498
MCO,PHX,260,282,UA4489
PHX,MCO,271,286,AS2405
MCO,CLT,397,167,NK2506
CLT,MCO,387,172,UA8080
MCO,IAH,212,198,DL6050
IAH,MCO,214,197,NK7389
MIA,PHX,246,268,B65541
PHX,MIA,246,277,B61212
MIA,CLT,191,253,DL1359
CLT,MIA,204,249,UA4381
MIA,IAH,346,101,DL3627
IAH,MIA,351,108,F93271
PHX,CLT,362,204,B69916
CLT,PHX,380,199,AS5037
PHX,IAH,156,266,AS5077
IAH,PHX,167,257,F93382
CLT,IAH,260,358,F96031
IAH,CLT,251,364,AA8659
EWR,PHX,270,79,UA9092
PHX,EWR,274,78,F91461
EWR,DEN,199,71,F96360
DEN,EWR,190,70,NK507
EWR,IAH,299,114,F96897
IAH,EWR,292,111,WN7511
BOS,IAH,82,190,B61230
IAH,BOS,94,194,F98246
BOS,DEN,92,150,WN9408
DEN,BOS,104,149,AA904
BOS,LAS,132,173,B68746
LAS,BOS,140,168,DL9111
BOS,LAX,125,181,WN4345
LAX,BOS,120,181,AA987
PHL,MCO,89,239,B68770
MCO,PHL,96,241,NK8248
PHL,JFK,126,207,DL2820
JFK,PHL,137,203,UA8873
MSP,DEN,142,49,F93972
DEN,MSP,146,48,B66934
MSP,ORD,262,209,NK5753
ORD,MSP,252,207,AA2313
MSP,LAX,116,195,AS6345
LAX,MSP,108,194,NK9125
DTW,IAH,266,104,NK515
IAH,DTW,257,99,UA7197
DTW,ATL,172,67,DL6401
ATL,DTW,162,64,WN673
DTW,MIA,137,224,AS3502
MIA,DTW,148,222,AA179
FLL,ATL,97,146,UA1077
ATL,FLL,103,148,AA4529
FLL,LAX,108,141,B62876
LAX,FLL,94,144,AA5804
LGA,PHX,181,139,DL7923
PHX,LGA,177,136,F96750
LGA,DEN,283,235,AA7396
DEN,LGA,294,233,NK6428
LGA,CLT,245,164,AA1830
CLT,LGA,243,162,B6482
LGA,LAS,182,188,AA1330
LAS,LGA,174,188,F95267
SLC,PHX,102,206,UA5932
PHX,SLC,98,210,NK1013
SLC,ATL,253,162,AA4736
ATL,SLC,240,166,DL4692
SLC,LAS,208,225,AS7794
LAS,SLC,200,228,WN7345
BWI,ORD,176,110,UA5073
ORD,BWI,173,111,AS7415
BWI,JFK,124,106,B66207
JFK,BWI,112,107,WN734
IAD,ORD,167,217,DL4815
ORD,IAD,180,221,AA3329
IAD,DFW,268,50,AS6211
DFW,IAD,280,51,F95925
IAD,LAX,242,92,NK2175
LAX,IAD,249,95,NK6096
IAD,MIA,159,57,DL283
MIA,IAD,167,60,WN7958
SAN,ATL,99,214,AA9513
ATL,SAN,112,209,UA8928
SAN,MCO,170,73,F96316
MCO,SAN,155,77,NK8384
SAN,JFK,197,176,F99693
JFK,SAN,198,178,F98356
SAN,CLT,214,125,UA4931
CLT,SAN,214,122,AA8170
DCA,ATL,86,230,WN3002
ATL,DCA,73,226,DL9529
DCA,DEN,154,232,AS8441
DEN,DCA,164,231,AS8575
DCA,LAX,137,170,DL2939
LAX,DCA,130,166,AA6262
DCA,PHX,173,191,AS4568
PHX,DCA,178,186,AS1863
TPA,LAS,150,157,AA6375
LAS,TPA,137,158,DL5372
TPA,LAX,260,55,AA6481
LAX,TPA,272,55,UA3092
TPA,CLT,240,60,WN3280
CLT,TPA,249,55,DL1138
BNA,SFO,91,165,DL2878
SFO,BNA,100,169,UA5469
BNA,DEN,151,198,F91202
DEN,BNA,140,202,AA9929
AUS,DEN,215,75,DL6523
DEN,AUS,217,76,UA2143
AUS,DFW,194,75,UA8358
DFW,AUS,188,78,AS5340
HNL,SEA,99,191,B6310
SEA,HNL,108,186,DL2273
HNL,JFK,100,219,DL7743
JFK,HNL,86,215,DL3679
HNL,CLT,147,166,AA7564
CLT,HNL,161,163,DL7049
HNL,LAX,169,195,AA7608
LAX,HNL,161,193,F91974
MCI,DEN,207,205,NK4966
DEN,MCI,199,205,AA9370
MCI,CLT,287,115,B63714
CLT,MCI,301,114,F94483
PDX,MCO,226,160,UA2476
MCO,PDX,223,162,B65358
PDX,ATL,267,46,F97484
ATL,PDX,255,50,NK2299
MSY,JFK,141,124,F95917
JFK,MSY,129,127,DL9267
MSY,MIA,134,209,WN9787
MIA,MSY,133,210,B66091
CLE,SEA,247,123,B62530
SEA,CLE,238,118,B67805
CLE,SFO,112,60,DL9108
SFO,CLE,118,58,WN7525
CLE,DEN,149,89,UA381
DEN,CLE,156,84,NK7390
PIT,IAH,149,125,NK2191
IAH,PIT,159,122,AS1986
PIT,ATL,233,149,NK3234
ATL,PIT,241,151,AA9775
SJC,PHX,174,72,AA4919
PHX,SJC,170,68,NK3556
SJC,MCO,139,195,DL7774
MCO,SJC,130,193,NK9654
SJC,JFK,91,174,B69962
JFK,SJC,104,171,AA3672
SJC,ATL,123,90,UA350
ATL,SJC,124,85,UA6490
SMF,ATL,189,81,DL6502
ATL,SMF,184,80,B69860
SMF,DFW,119,166,F94178
DFW,SMF,106,166,F92319
SMF,MIA,204,143,WN8272
MIA,SMF,208,138,B69781
RDU,DEN,208,60,UA1605
DEN,RDU,205,55,DL6559
RDU,MIA,244,126,AS6879
MIA,RDU,234,121,F95843
IND,JFK,190,219,UA7468
JFK,IND,175,215,F97806
IND,LAS,81,167,UA2924
LAS,IND,78,164,B68851
SAT,PHX,233,212,F99645
PHX,SAT,240,208,B66763
SAT,DEN,168,219,UA3591
DEN,SAT,168,215,AS3549
OAK,DFW,133,179,DL5491
DFW,OAK,123,174,F99579
OAK,ORD,218,101,F91173
ORD,OAK,228,100,B61204
RSW,SEA,218,184,DL1548
SEA,RSW,223,187,DL1036
RSW,DFW,151,220,AS6214
DFW,RSW,136,219,NK7736
SNA,CLT,150,92,NK2921
CLT,SNA,160,95,NK9697
SNA,LAX,143,93,DL6613
LAX,SNA,148,94,WN2135
SNA,ORD,221,104,AA5047
ORD,SNA,234,106,F91494
STL,CLT,218,142,AS3824
CLT,STL,231,141,F93441
STL,DEN,114,67,AA4731
DEN,STL,128,62,NK1422
STL,ATL,182,53,NK7425
ATL,STL,181,48,NK7311
STL,SEA,134,87,UA8639
SEA,STL,122,82,B61822
BHM,IAH,80,182,NK7307
IAH,BHM,74,181,AA4341
BHM,DFW,154,110,UA248
DFW,BHM,153,111,DL3913
BUF,ATL,131,227,UA5350
ATL,BUF,145,229,B65045
BUF,IAH,134,137,NK5985
IAH,BUF,148,132,UA4350
BUF,CLT,251,57,DL3561
CLT,BUF,239,54,WN3536
BUF,DFW,266,176,WN3163
DFW,BUF,266,177,AA1128
OMA,SEA,201,65,AS2113
SEA,OMA,206,67,B69889
OMA,JFK,161,209,F95457
JFK,OMA,156,213,AS2111
OMA,ATL,199,135,NK1109
ATL,OMA,213,136,WN9307
ABQ,DFW,290,99,NK8713
DFW,ABQ,290,102,DL833
ABQ,PHX,188,158,AA4522
PHX,ABQ,183,153,AS6444
ABQ,LAS,155,201,F94156
LAS,ABQ,152,199,F96178
PBI,MCO,130,120,AS7266
MCO,PBI,136,123,AS8145
PBI,SEA,226,136,WN953
SEA,PBI,236,134,B61157
PBI,MIA,150,211,DL9053
MIA,PBI,150,215,AS2794
ONT,CLT,236,80,UA2511
CLT,ONT,230,84,DL4647
ONT,SFO,270,100,AS3806
SFO,ONT,283,96,DL9524
HOU,IAH,136,80,F99505
IAH,HOU,142,75,UA5060
HOU,ORD,145,71,AS8698
ORD,HOU,152,72,UA3837
HOU,SEA,288,127,B67112
SEA,HOU,283,123,DL8867
HOU,SFO,145,197,AA1416
SFO,HOU,149,199,NK9227
BDL,IAH,94,167,B63783
IAH,BDL,85,171,WN667
BDL,JFK,246,161,UA6369
JFK,BDL,250,163,NK7571
MKE,JFK,130,166,F98105
JFK,MKE,126,165,F95145
MKE,DEN,218,238,F96499
DEN,MKE,203,235,WN9893
ANC,DFW,250,60,AS9439
DFW,ANC,257,63,AS658
ANC,IAH,150,166,AA6222
IAH,ANC,136,169,F92909
ANC,CLT,232,137,WN4349
CLT,ANC,220,137,UA1021
ANC,LAS,105,132,AA7631
LAS,ANC,112,129,UA4727
MEM,PHX,135,121,AS1352
PHX,MEM,136,119,DL2300
MEM,LAX,252,108,AA8650
LAX,MEM,240,109,WN572
JAX,IAH,170,69,AA2051
IAH,JAX,164,68,AS3815
JAX,PHX,252,138,AA7046
PHX,JAX,242,137,UA9843
JAX,ATL,261,234,UA8166
ATL,JAX,256,238,AS2071
JAX,SFO,156,133,NK1910
SFO,JAX,147,134,AS5815
LGB,IAH,130,59,AA8612
IAH,LGB,139,57,UA7062
LGB,PHX,147,79,NK7124
PHX,LGB,136,79,DL9370
LGB,SEA,175,121,B64577
SEA,LGB,167,123,WN4355
OKC,MIA,259,133,AS1113
MIA,OKC,251,129,UA5692
OKC,LAX,83,192,B61163
LAX,OKC,76,193,NK8222
OKC,ORD,142,94,B61823
ORD,OKC,146,95,UA9540
RIC,IAH,179,96,DL7231
IAH,RIC,187,91,DL7948
RIC,PHX,284,171,UA6245
PHX,RIC,269,168,AA6479
RIC,ATL,220,114,DL1458
ATL,RIC,214,115,WN9461
RIC,CLT,147,222,AA4306
CLT,RIC,153,220,UA8138
GSO,LAS,273,96,DL3664
LAS,GSO,263,94,WN5798
GSO,ORD,213,239,WN8275
ORD,GSO,212,242,B61179
PSP,LAX,183,155,AS7039
LAX,PSP,168,155,F91185
PSP,PHX,119,124,AS8270
PHX,PSP,104,126,AS8998
RNO,MCO,183,51,UA2621
MCO,RNO,180,54,WN6706
RNO,LAX,266,167,F99890
LAX,RNO,262,164,UA3009
RNO,IAH,125,98,WN356
IAH,RNO,128,100,F95861
BOI,SEA,286,86,WN7629
SEA,BOI,290,83,UA1888
BOI,LAS,161,212,B63874
LAS,BOI,155,211,AS3066
BOI,SFO,223,166,B63938
SFO,BOI,213,165,DL3804
DSM,DEN,183,78,NK5206
DEN,DSM,169,79,AA965
DSM,PHX,130,177,DL7817
PHX,DSM,139,173,DL605
DSM,ORD,277,216,WN1020
ORD,DSM,279,212,UA5315
DSM,JFK,271,135,WN9560
JFK,DSM,285,135,WN6632
ORF,ORD,106,107,WN5275
ORD,ORF,97,105,B68311
ORF,LAS,130,226,DL7963
LAS,ORF,127,226,NK4175
ORF,PHX,90,221,DL5438
PHX,ORF,97,225,UA2971
ORF,CLT,151,199,AA7275
CLT,ORF,136,201,UA5343
GSP,IAH,173,224,F92763
IAH,GSP,164,228,F99053
GSP,PHX,216,125,AS9888
PHX,GSP,202,122,AS7806
GSP,SEA,234,144,UA8647
SEA,GSP,245,140,NK8140
GEG,PHX,229,175,B68308
PHX,GEG,227,176,B69888
GEG,DEN,132,190,UA1649
DEN,GEG,118,186,AA463
GEG,ATL,201,220,NK7353
ATL,GEG,187,216,F92585
GEG,SEA,215,144,UA4094
SEA,GEG,212,146,NK7677
GRR,DFW,253,130,WN2868
DFW,GRR,240,134,WN4068
GRR,JFK,186,111,F95933
JFK,GRR,185,108,UA287
SAV,PHX,279,65,WN6131
PHX,SAV,275,69,AA7895
SAV,IAH,133,183,WN6295
IAH,SAV,130,180,UA4660
SAV,SEA,219,196,F97665
SEA,SAV,221,200,UA4286
TYS,MIA,168,68,DL6188
MIA,TYS,163,72,B65835
TYS,MCO,134,162,F99663
MCO,TYS,125,166,B6143
TYS,CLT,82,218,B62477
CLT,TYS,90,220,B62219
HSV,IAH,191,199,DL8769
IAH,HSV,181,196,AS6102
HSV,ORD,226,76,F95572
ORD,HSV,238,71,B65537
HSV,MCO,115,222,WN3310
MCO,HSV,110,219,DL9147
HSV,PHX,85,70,F97737
PHX,HSV,84,71,F93130
TLH,DFW,195,52,UA825
DFW,TLH,192,50,WN7073
TLH,LAX,257,125,WN498
LAX,TLH,256,121,UA7285
TLH,SFO,162,80,WN9827
SFO,TLH,147,78,AA5463
TLH,DEN,119,57,B66509
DEN,TLH,131,52,DL2745
LIT,IAH,251,110,WN1508
IAH,LIT,247,108,AS779
LIT,CLT,106,152,UA1162
CLT,LIT,103,151,AA5885
LIT,DEN,292,166,UA8988
DEN,LIT,277,164,B62219
ICT,CLT,89,72,NK7003
CLT,ICT,95,76,B61964
ICT,ORD,246,104,AS4747
ORD,ICT,241,105,AA8053
LEX,ATL,154,49,B61953
ATL,LEX,157,53,F97874
LEX,PHX,114,198,NK4532
PHX,LEX,112,193,UA6848
LEX,LAS,173,63,AS2554
LAS,LEX,174,66,AS5496
DAY,SEA,110,163,DL1154
SEA,DAY,108,161,AA8836
DAY,ATL,165,157,F97680
ATL,DAY,178,154,NK1653
CHS,SFO,157,102,NK1839
SFO,CHS,159,97,WN5671
CHS,JFK,199,149,B62208
JFK,CHS,192,151,UA6043
CHS,CLT,139,196,AA2234
CLT,CHS,132,192,UA770
ELP,CLT,229,206,UA3677
CLT,ELP,230,203,NK9450
ELP,MCO,260,55,WN6129
MCO,ELP,250,56,AS1851
ELP,DEN,184,74,F9663
DEN,ELP,176,71,DL480
ELP,LAS,153,166,AA3411
LAS,ELP,167,162,UA9770
TUS,CLT,258,109,F9380
CLT,TUS,244,105,AS5126
TUS,MCO,200,147,AS2101
MCO,TUS,195,145,F99058
TUS,LAX,157,189,F94721
LAX,TUS,154,192,AS4662
FAT,DEN,131,110,F97115
DEN,FAT,145,106,WN7093
FAT,MIA,217,105,AS4484
MIA,FAT,221,108,NK7485
FAT,CLT,83,90,NK1666
CLT,FAT,95,88,UA5237
PVD,CLT,280,80,DL4337
CLT,PVD,282,83,DL5578
PVD,ORD,237,84,NK478
ORD,PVD,234,81,AA9502
PVD,SFO,188,71,B68756
SFO,PVD,199,73,NK1906
BTV,LAX,186,111,NK3554
LAX,BTV,174,115,NK7817
BTV,MIA,274,188,F97292
MIA,BTV,287,183,DL8584
PWM,DFW,259,175,WN9552
DFW,PWM,261,178,NK3209
PWM,ORD,296,83,AS5830
ORD,PWM,282,80,DL1881
PWM,SEA,126,108,UA5814
SEA,PWM,126,106,AS1842
PWM,ATL,196,230,DL4142
ATL,PWM,210,234,DL1616
MHT,JFK,128,169,F9204
JFK,MHT,116,166,DL6010
MHT,LAS,177,45,UA9183
LAS,MHT,183,41,WN3805
BIL,ORD,290,183,WN2994
ORD,BIL,288,182,AA5811
BIL,LAX,225,182,AS9984
LAX,BIL,213,186,AA2162
JAC,LAS,155,161,AS1102
LAS,JAC,156,156,DL7397
JAC,SFO,178,137,DL1139
SFO,JAC,189,133,WN8563
FSD,MIA,202,227,DL9455
MIA,FSD,192,230,AS2007
FSD,CLT,96,55,NK9161
CLT,FSD,86,57,AA8628
FSD,IAH,289,156,AA8966
IAH,FSD,278,156,B68676
FAR,MIA,292,229,B67354
MIA,FAR,287,230,F93111
FAR,JFK,229,238,AS9268
JFK,FAR,227,234,F93520
FAR,ORD,131,125,AA8132
ORD,FAR,143,121,NK8426
FAR,DEN,232,183,UA7104
DEN,FAR,241,183,B69317
SYR,LAS,261,51,DL3602
LAS,SYR,254,47,AA3583
SYR,ORD,175,164,UA6495
ORD,SYR,189,164,UA818
SYR,MCO,284,144,AS3819
MCO,SYR,295,145,DL1266
ALB,MIA,141,89,B66224
MIA,ALB,137,93,DL9575
ALB,DFW,130,66,F93385
DFW,ALB,142,67,B65567
ALB,DEN,84,60,F99366
DEN,ALB,85,57,AA8778
ALB,PHX,229,150,WN672
PHX,ALB,219,149,B61719
ROC,DEN,240,79,DL4228
DEN,ROC,240,79,AS1783
ROC,LAX,217,112,DL2531
LAX,ROC,203,107,WN3399
ROC,JFK,165,217,B65743
JFK,ROC,170,215,UA9964
FAI,CLT,113,119,NK9854
CLT,FAI,115,116,NK9912
FAI,SEA,260,132,F94806
SEA,FAI,249,128,AA8318
OGG,MCO,184,159,NK9029
MCO,OGG,173,160,F96344
OGG,DFW,185,124,NK656
DFW,OGG,175,123,UA2654
OGG,MIA,188,59,NK7235
MIA,OGG,193,57,F91380
LIH,CLT,195,146,WN1064
CLT,LIH,186,142,F95024
LIH,LAS,286,124,UA5281
LAS,LIH,287,128,AA5307
KOA,DEN,113,178,UA718
DEN,KOA,124,182,B64264
KOA,DFW,83,69,AA6944
DFW,KOA,82,66,DL7124
GUM,ORD,257,198,DL6485
ORD,GUM,271,198,DL5113
GUM,DFW,226,79,B65306
DFW,GUM,234,78,UA8040
GUM,LAX,189,150,AS3318
LAX,GUM,185,149,AS571
SJU,LAX,206,101,DL7945
LAX,SJU,212,100,NK1850
SJU,SEA,130,99,B65954
SEA,SJU,118,99,UA8419
SJU,IAH,288,98,WN6161
IAH,SJU,284,98,UA6261
SJU,SFO,270,134,NK7131
SFO,SJU,264,134,B68723
JNU,DFW,150,183,F99275
DFW,JNU,156,183,F93948
JNU,PHX,188,210,WN2139
PHX,JNU,197,214,WN5600
JNU,IAH,197,54,UA5331
IAH,JNU,206,56,UA2109
JNU,LAX,176,144,UA4840
LAX,JNU,165,148,AS5072
EYW,CLT,278,45,WN5048
CLT,EYW,266,45,B67587
EYW,MIA,214,180,B62292
MIA,EYW,219,181,B6907
EYW,ATL,210,202,AA6332
ATL,EYW,204,205,AS5723
AVL,DFW,149,224,WN9979
DFW,AVL,158,223,UA4698
AVL,MCO,122,215,AA2911
MCO,AVL,131,219,NK6643
PNS,ORD,243,59,F99742
ORD,PNS,238,60,UA9125
PNS,SEA,84,227,AA2416
SEA,PNS,69,230,AS5609
PNS,SFO,279,189,B65817
SFO,PNS,291,184,UA325
MOB,DFW,174,77,WN4876
DFW,MOB,175,72,UA5171
MOB,JFK,243,129,NK5731
JFK,MOB,249,129,NK5499
CHA,IAH,297,220,DL530
IAH,CHA,295,218,B67457
CHA,LAX,243,175,AS1407
LAX,CHA,252,179,B63005
CHA,DEN,179,146,UA6384
DEN,CHA,180,147,NK1539
