name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code
Will Rogers World Airport,35.3931,-97.6007,1295,NA,US,US-OK,Oklahoma City,yes,KOKC,OKC
Richmond International Airport,37.5052,-77.3197,167,NA,US,US-VA,Richmond,yes,KRIC,RIC
Piedmont Triad International Airport,36.0978,-79.9373,926,NA,US,US-NC,Greensboro,yes,KGSO,GSO
Palm Springs International Airport,33.8297,-116.5067,477,NA,US,US-CA,Palm Springs,yes,KPSP,PSP
Reno-Tahoe International Airport,39.4991,-119.7681,4415,NA,US,US-NV,Reno,yes,KRNO,RNO
Boise Air Terminal,43.5644,-116.2228,2871,NA,US,US-ID,Boise,yes,KBOI,BOI
Des Moines International Airport,41.534,-93.6631,958,NA,US,US-IA,Des Moines,yes,KDSM,DSM
Norfolk International Airport,36.8946,-76.2012,27,NA,US,US-VA,Norfolk,yes,KORF,ORF
Greenville-Spartanburg International Airport,34.8957,-82.2189,964,NA,US,US-SC,Greer,yes,KGSP,GSP
Spokane International Airport,47.6199,-117.5338,2385,NA,US,US-WA,Spokane,yes,KGEG,GEG
Grand Rapids Gerald R. Ford International Airport,42.8808,-85.5228,794,NA,US,US-MI,Grand Rapids,yes,KGRR,GRR
Savannah/Hilton Head International Airport,32.1275,-81.2021,50,NA,US,US-GA,Savannah,yes,KSAV,SAV
McGhee Tyson Airport,35.811,-83.994,981,NA,US,US-TN,Knoxville,yes,KTYS,TYS
Huntsville International Airport,34.6404,-86.7731,629,NA,US,US-AL,Huntsville,yes,KHSV,HSV
Tallahassee International Airport,30.3965,-84.3503,81,NA,US,US-FL,Tallahassee,yes,KTLH,TLH
Little Rock Bill and Hillary Clinton National Airport,34.7294,-92.2243,262,NA,US,US-AR,Little Rock,yes,KLIT,LIT
Wichita Dwight D. Eisenhower National Airport,37.6499,-97.4331,1333,NA,US,US-KS,Wichita,yes,KICT,ICT
Blue Grass Airport,38.0365,-84.6059,979,NA,US,US-KY,Lexington,yes,KLEX,LEX
Dayton International Airport,39.9024,-84.2194,1009,NA,US,US-OH,Dayton,yes,KDAY,DAY
Charleston International Airport,32.8986,-80.0405,46,NA,US,US-SC,Charleston,yes,KCHS,CHS
El Paso International Airport,31.8066,-106.3778,3962,NA,US,US-TX,El Paso,yes,KELP,ELP
Tucson International Airport,32.1161,-110.941,2643,NA,US,US-AZ,Tucson,yes,KTUS,TUS
Fresno Yosemite International Airport,36.7762,-119.7181,336,NA,US,US-CA,Fresno,yes,KFAT,FAT
T.F. Green State Airport,41.724,-71.4282,55,NA,US,US-RI,Providence,yes,KPVD,PVD
Burlington International Airport,44.4719,-73.1533,335,NA,US,US-VT,South Burlington,yes,KBTV,BTV
Portland International Jetport,43.6462,-70.3093,76,NA,US,US-ME,Portland,yes,KPWM,PWM
Manchester-Boston Regional Airport,42.9297,-71.4352,266,NA,US,US-NH,Manchester,yes,KMHT,MHT
Billings Logan International Airport,45.8077,-108.5429,3652,NA,US,US-MT,Billings,yes,KBIL,BIL
Jackson Hole Airport,43.6073,-110.7377,6451,NA,US,US-WY,Jackson,yes,KJAC,JAC
Sioux Falls Regional Airport,43.5813,-96.7417,1430,NA,US,US-SD,Sioux Falls,yes,KFSD,FSD
Hector International Airport,46.9207,-96.8158,901,NA,US,US-ND,Fargo,yes,KFAR,FAR
Syracuse Hancock International Airport,43.1112,-76.1063,421,NA,US,US-NY,Syracuse,yes,KSYR,SYR
Albany International Airport,42.7483,-73.8017,285,NA,US,US-NY,Albany,yes,KALB,ALB
Rochester Institute of Technology Airport,43.1189,-77.6724,559,NA,US,US-NY,Rochester,yes,KROC,ROC
Fairbanks International Airport,64.8151,-147.8564,434,NA,US,US-AK,Fairbanks,yes,PAFA,FAI
Kahului Airport,20.8986,-156.4305,54,NA,US,US-HI,Kahului,yes,PHOG,OGG
Lihue Airport,21.976,-159.339,153,NA,US,US-HI,Lihue,yes,PHLI,LIH
Kona International Airport,19.7388,-156.0456,47,NA,US,US-HI,Kailua-Kona,yes,PHKO,KOA
Guam International Airport,13.4839,144.7972,298,OC,GU,GU-GU,Tamuning,yes,PGUM,GUM
Luis Munoz Marin International Airport,18.4394,-66.0018,9,NA,PR,PR-PR,San Juan,yes,TJSJ,SJU
Juneau International Airport,58.3549,-134.5763,21,NA,US,US-AK,Juneau,yes,PAJN,JNU
Key West International Airport,24.5561,-81.7596,3,NA,US,US-FL,Key West,yes,KEYW,EYW
Asheville Regional Airport,35.4362,-82.5418,2165,NA,US,US-NC,Asheville,yes,KAVL,AVL
Pensacola International Airport,30.4734,-87.1866,121,NA,US,US-FL,Pensacola,yes,KPNS,PNS
Mobile Regional Airport,30.6912,-88.2428,219,NA,US,US-AL,Mobile,yes,KMOB,MOB
Chattanooga Metropolitan Airport,35.0353,-85.2038,683,NA,US,US-TN,Chattanooga,yes,KCHA,CHA
