name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code
Aiambak Airport,-7.342777778,141.2675,90,OC,PG,PG-WPD,Aiambak,no,AYAK,AIH
Amanab Airport,-3.586,141.2143333,1307,OC,PG,PG-SAN,Amanab,no,AYAM,AMU
Andakombe Airport,-7.137222222,145.7447222,3600,OC,PG,PG-EHG,Andekombe,no,AYAN,ADC
Aiome Airport,-5.145699978,144.7307003,350,OC,PG,PG-MPM,Aiome,no,AYAO,AIE
Kompiam Airport,-5.381666667,143.9247222,5100,OC,PG,PG-EPW,,no,AYAQ,KPM
Ambunti Airport,-4.215666667,142.8231667,50,OC,PG,PG-ESW,Ambunti,no,AYAT,AUJ
Awaba Airport,-8.013414,142.752099,32,OC,PG,PG-WPD,Awaba,no,AYAW,AWB
Aseki Airport,-7.350805,146.193994,4106,OC,PG,PG-MPL,Aseki,no,AYAX,AEK
Aiyura Airport,-6.338055556,145.9041667,5355,OC,PG,PG-EHG,Aiyura Valley,no,AYAY,AYU
Baimuru Airport,-7.496955,144.821756,27,OC,PG,PG-GPK,Baimuru,yes,AYBA,VMU
Bambu Airport,-5.863611111,146.4925,6790,OC,PG,PG-MPM,Bambu,no,AYBC,BCP
Bodinumu Airport,-9.107777778,147.6667222,3700,OC,PG,PG-CPM,Bodinumu,no,AYBD,BNM
Bamu Airport,-7.8485,143.2433,50,OC,PG,PG-WPD,Bamu,no,AYBF,BMZ
Baindoung Airport,-6.347222222,146.9422222,4400,OC,PG,PG-MPL,,no,AYBG,BDZ
Bensbach Airport,-8.858055556,141.2594444,30,OC,PG,PG-WPD,Bensbach,no,AYBH,BSP
Bewani Airport,-3.021666667,141.1652778,550,OC,PG,PG-SAN,Bewani,no,AYBI,BWP
Buka Airport,-5.422299,154.672698,11,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA
Bialla Airport,-5.330560207,151.0079956,51,OC,PG,PG-WBK,"Bialla, Matalilu, Ewase",no,AYBL,BAA
Balimo Airport,-8.050000191,142.9329987,51,OC,PG,PG-WPD,Balimo,yes,AYBM,OPU
Bomai Airport,-6.373166667,144.637,3300,OC,PG,PG-CPK,Bomai,no,AYBO,BMH
Bapi Airstrip,-7.743611111,147.0205556,2930,OC,PG,PG-MPL,Bapi,no,AYBP,BPD
Biangabip Airport,-5.526389,141.744583,1069,OC,PG,PG-WPD,Biangabip,no,AYBQ,BPK
Biaru Airport,-7.6693,146.7594,4900,OC,PG,PG-MPL,Biaru,no,AYBR,BRP
Bulolo Airport,-7.216286671,146.6495419,2240,OC,PG,PG-MPL,Bulolo,no,AYBU,BUL
Biniguni Airport,-9.6425,149.303889,215,OC,PG,PG-MBA,Biniguni,no,AYBZ,XBN
Chungribu Airport,-4.80662,144.714996,108,OC,PG,PG-MPM,Chungribu,no,AYCB,CVB
Cape Gloucester Airport,-5.455231,148.422289,78,OC,PG,PG-WBK,Cape Gloucester,no,AYCG,CGC
Chimbu Airport,-6.024290085,144.9709930419922,4974,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU
China Strait Airstrip,-10.56277778,150.6906944,10,OC,PG,PG-MBA,Samarai Island,no,AYCS,SQT
Debepare Airport,-6.308611111,141.9055556,360,OC,PG,PG-WPD,Debepare,no,AYDB,DBP
Derim Airport,-6.144722222,147.1072222,4850,OC,PG,PG-MPL,Derim,no,AYDE,DER
Bundi Airport,-5.742222222,145.2275,4400,OC,PG,PG-MPM,Bundi,no,AYDI,BNT
Munduku Airport,-4.6204,143.4516,100,OC,PG,PG-ESW,Munduku,no,AYDK,MDM
Kondobol Airport,-8.5336,142.5049,132,OC,PG,PG-WPD,Kondobol,no,AYDL,KPF
Dinangat Airport,-6.1546,146.6772,5309,OC,PG,PG-MPL,Dinangat,no,AYDN,DNU
Doini Airport,-10.7009,150.7218,31,OC,PG,PG-MBA,Castori Islets,no,AYDO,DOI
Dorobisoro Airport,-9.461855,147.920907,1767,OC,PG,PG-CPM,Dorobisoro,no,AYDR,DOO
Daru Airport,-9.08676,143.207993,20,OC,PG,PG-WPD,Daru,yes,AYDU,DAU
Kerau Airport,-8.271612,147.071899,7360,OC,PG,PG-CPM,Gunim,no,AYEA,KRU
Embessa Airport,-9.447,148.7628,131,OC,PG,PG-NPP,Embessa,no,AYEB,EMS
Edwaki Airport,-3.883986,141.792234,190,OC,PG,PG-SAN,Yellow River Mission,no,AYED,XYR
Emirau Airport,-1.653949991,149.9757667,172,OC,PG,PG-NIK,Emirau Island,no,AYEE,EMI
Efogi Airport,-9.153805556,147.6598056,3900,OC,PG,PG-CPM,Efogi,no,AYEF,EFG
Morehead Airport,-8.714111111,141.6444444,100,OC,PG,PG-WPD,Morehead,no,AYEH,MHY
Eliptamin Airport,-5.0412,141.6779,4825,OC,PG,PG-SAN,Eliptamin,no,AYEL,EPT
Engati Airstrip,-6.9179,146.1053,3715,OC,PG,PG-MPL,Engati,no,AYEN,EGA
Emo River Airstrip,-9.1234,148.0415,2240,OC,PG,PG-NPP,Emo Mission,no,AYEO,EMO
Erume Airport,-8.2538,146.9747,6690,OC,PG,PG-CPM,Erume,no,AYER,ERU
Meselia Airport,-6.1364,149.1183,180,OC,PG,PG-WBK,Demgulu,no,AYES,MFZ
Bosset Airport,-7.237257,141.1063222,80,OC,PG,PG-WPD,Bosset,yes,AYET,BOT
Erave Airport,-6.606463154,143.9002132,3650,OC,PG,PG-SHM,Erave,no,AYEV,ERE
Siwea Airport,-6.284181,147.582371,5960,OC,PG,PG-MPL,Siwea,no,AYEW,SWE
Fane Airport,-8.549277778,147.0858333,4500,OC,PG,PG-CPM,Fane Mission,no,AYFA,FNE
Finschhafen Airport,-6.621750109,147.85405,60,OC,PG,PG-MPL,Buki,no,AYFI,FIN
Frieda River Airport,-4.610468,141.960138,217,OC,PG,PG-ESW,Frieda River,no,AYFR,FAQ
Fuma Airport,-6.3933,142.4408,466,OC,PG,PG-WPD,Fuma,no,AYFU,FUM
Goroka Airport,-6.081689835,145.3919983,5282,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA
Gewoia Airport,-9.2263,148.4949,340,OC,PG,PG-NPP,Gewoia,no,AYGC,GEW
Guari Airport,-8.1286,146.8722,6450,OC,PG,PG-CPM,Guari,no,AYGF,GUG
Garasa Airport,-7.980713,147.213461,2539,OC,PG,PG-MPL,Au,no,AYGG,GRL
Garaina Airport,-7.875625,147.141266,2497,OC,PG,PG-MPL,Garaina,no,AYGI,GAR
Guasopa Airport,-9.225918,152.944352,10,OC,PG,PG-MBA,Woodlark (Muyua) Island,no,AYGJ,GAZ
Gonaili Airport,-5.527716614,151.5733333,40,OC,PG,PG-EBR,Gonaili,no,AYGL,GOE
Gurney Airport,-10.3114996,150.3339996,88,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR
Gusap Airport,-6.053196,145.959047,1504,OC,PG,PG-MPL,Gusap,no,AYGP,GAP
Girua Airport,-8.80453968,148.3090057,311,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP
Gasuke Airport,-6.1028,141.7393,157,OC,PG,PG-WPD,Gasuke,no,AYGS,GBC
Gasmata Island Airport,-6.271110058,150.3309937,23,OC,PG,PG-WBK,Gasmata Island,yes,AYGT,GMI
Anguganak Airport,-3.560504,142.217307,937,OC,PG,PG-SAN,Anguganak,no,AYGU,AKG
Green River Airport,-3.902242899,141.170517,281,OC,PG,PG-SAN,Green River,no,AYGV,GVI
Gora Airstrip,-9.0021,148.2364,2497,OC,PG,PG-NPP,Gora,no,AYGX,GOC
Habi Airport,-6.32,142.4893,993,OC,PG,PG-WPD,Habi,no,AYHB,HBD
Heiweni Airport,-7.4223,146.4276,3480,OC,PG,PG-MPL,Heiweni,no,AYHE,HNI
Hayfields Airport,-3.69838,143.057902,466,OC,PG,PG-ESW,Bainyik,no,AYHF,HYF
Honinabi Airport,-6.2457,142.1771,452,OC,PG,PG-WPD,Honinabi,no,AYHH,HNN
Hoskins Airport,-5.463846,150.407327,66,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN
Haivaro Airport,-6.9406,143.059,180,OC,PG,PG-GPK,Haivaro,no,AYHO,HIT
Hawabango Airport,-7.392994,146.003487,4563,OC,PG,PG-GPK,Hawabango,no,AYHU,HWA
Nissan Island Airport,-4.499720097,154.2259979,52,OC,PG,PG-NSB,Nissan Island,no,AYIA,IIS
Indagen Airport,-6.22663,147.244,5788,OC,PG,PG-MPL,Indagen,no,AYID,IDN
Imane Airport,-6.7524,146.1072,3860,OC,PG,PG-MPL,Imane,no,AYII,IMN
Kungim Airport,-5.671,141.03,349,OC,PG,PG-WPD,Kungim,no,AYIM,KGM
Imonda Airport,-3.328,141.1573,990,OC,PG,PG-SAN,Imonda,no,AYIO,IMD
Aropa Airport,-6.305727,155.728249,20,OC,PG,PG-NSB,Kieta,yes,AYIQ,KIE
Wasua Airport,-8.2836,142.8697,45,OC,PG,PG-WPD,Wasua,no,AYIW,WSA
Witu Airport,-4.689522,149.440112,25,OC,PG,PG-WBK,Garove Island,no,AYIX,WIU
Miyanmin Airport,-4.903055556,141.6208333,2500,OC,PG,PG-SAN,Miyanmin,no,AYIY,MPX
Yongai Airport,-8.5289,147.4603,6500,OC,PG,PG-CPM,Yongai,no,AYJO,KGH
Josephstaal Airport,-4.747083333,145.0070833,250,OC,PG,PG-MPM,Josephstaal,no,AYJS,JOP
Losuia Airport,-8.505820274,151.08099365234375,27,OC,PG,PG-MBA,Losuia,yes,AYKA,LSA
Kabwum,-6.155472222,147.1914722,4450,OC,PG,PG-MPL,,no,AYKB,KBM
Kandrian Airport,-6.19217,149.54783,280,OC,PG,PG-WBK,Kandrian,no,AYKC,KDR
Kamina Airport,-7.64925,145.9569444,2157,OC,PG,PG-GPK,Hoieti,no,AYKD,KMF
Kopiago Airport,-5.3883,142.4977,4445,OC,PG,PG-HLA,Kopiago,no,AYKG,KPA
Kamulai Airport,-8.150694444,146.834,5800,OC,PG,PG-CPM,Kamulai Mission,no,AYKH,KAQ
Kiunga Airport,-6.125710011,141.28199768066406,88,OC,PG,PG-WPD,Kiunga,yes,AYKI,UNG
Kanainj Airport,-5.2903,144.7072,4064,OC,PG,PG-MPM,Kanainj,no,AYKJ,KNE
Kikori Airport,-7.42438,144.250076,50,OC,PG,PG-GPK,Kikori,yes,AYKK,KRI
Kerema Airport,-7.963610172,145.7709961,10,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA
Kokoda Airport,-8.884679,147.730957,1240,OC,PG,PG-NPP,Kokoda,no,AYKO,KKD
Kagi Airport,-9.135916667,147.6694444,4200,OC,PG,PG-CPM,Kagi,no,AYKQ,KGW
Kar Kar Airport,-4.557,145.9404,130,OC,PG,PG-MPM,Kar Kar Island,no,AYKR,KRX
Kaintiba Airport,-7.50025,146.0338333,2050,OC,PG,PG-GPK,Kaintiba,no,AYKT,KZF
Kuri Airport,-7.135083,143.276111,35,OC,PG,PG-GPK,Kuri,no,AYKU,KUQ
Kavieng Airport,-2.579400063,150.8079987,7,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG
Kawito Airport,-7.977006912,142.8235779,72,OC,PG,PG-WPD,Kawito,no,AYKW,KWO
Londolovit Airport,-3.043610096,152.6289978,167,OC,PG,PG-NIK,Londolovit,yes,AYKY,LNV
Lab Lab Airport,-5.7204,148.0566,160,OC,PG,PG-MPL,Lab Lab Mission,no,AYLB,LAB
Keglsugl Airport,-5.832777778,145.0972222,8400,OC,PG,PG-CPK,Denglagu Mission,no,AYLG,KEG
Kibuli Airstrip,-9.006528,142.698056,54,OC,PG,PG-WPD,Kibuli,no,AYLI,KII
Linga Linga Airport,-5.531944444,149.7341667,17,OC,PG,PG-WBK,Linga Linga,no,AYLL,LGN
Langimar Airport,-7.223138889,146.2270833,5127,OC,PG,PG-MPL,,no,AYLN,LNM
Lowai Airport,-6.3344,146.6458,2900,OC,PG,PG-MPL,Lowai,no,AYLO,LWI
Leron Plains Airport,-6.3917,146.3434,680,OC,PG,PG-MPL,Leron Plains,no,AYLP,LPN
Lese Airport,-8.2799,146.2765,40,OC,PG,PG-GPK,Lese,no,AYLS,LNG
Lengbati Airport,-6.384611111,147.3686389,5750,OC,PG,PG-MPL,,no,AYLT,LNC
Lumi Airport,-3.476839511,142.0412922,1750,OC,PG,PG-SAN,Lumi,no,AYLU,LMI
Long Island Airport,-5.3604,147.0177,116,OC,PG,PG-MPM,Long Island,no,AYLX,LSJ
Manari Airport,-9.1908,147.6219,2630,OC,PG,PG-CPM,Manari,no,AYMA,MRM
Morobe Airport,-7.74,147.59,8,OC,PG,PG-MPL,Morobe,no,AYMB,OBM
Menyamya Airport,-7.211666667,146.0193611,3880,OC,PG,PG-MPL,Menyamya,no,AYMC,MYX
Madang Airport,-5.207079887,145.7890015,20,OC,PG,PG-MPM,Madang,yes,AYMD,MAG
Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU
Mindik Airport,-6.471666667,147.4411389,4200,OC,PG,PG-MPL,Mindik,no,AYMI,MXK
Makini Airport,-6.532222222,147.6511667,2530,OC,PG,PG-MPL,Makini,no,AYMJ,MPG
Mougulu Airport,-6.280859,142.420775,825,OC,PG,PG-WPD,Mougulu,no,AYML,GUV
Mendi Airport,-6.14774,143.656998,5680,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU
Momote Airport,-2.06189,147.423996,12,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS
Malalaua Airport,-8.071388889,146.1554722,20,OC,PG,PG-GPK,Malalaua,no,AYMP,MLQ
Malam Airport,-8.709166667,142.6497222,126,OC,PG,PG-WPD,Malam,no,AYMQ,MQO
Moro Airport,-6.363329887,143.2380066,2740,OC,PG,PG-SHM,Moro,yes,AYMR,MXH
Misima Island Airport,-10.6892004,152.8379974,26,OC,PG,PG-MBA,Misima Island,yes,AYMS,MIS
Malekolon Airport,-4.023430556,153.6572778,5,OC,PG,PG-NIK,Babase Island,no,AYMV,MKN
Marawaka Airport,-6.9736,145.8849,6050,OC,PG,PG-EHG,Marawaka,no,AYMW,MWG
Mapua(Mabua) Airport,-2.811388889,151.9911111,40,OC,PG,PG-NIK,Tatau Island,no,AYMZ,MPU
Nankina Airport,-5.837,146.4533,5800,OC,PG,PG-MPM,Gwarawon,no,AYNA,NKN
Kanabea Airport,-7.538888889,145.905,4288,OC,PG,PG-GPK,Kanabea,no,AYNB,KEX
Nadunumu Airport,-9.143555556,147.68425,5100,OC,PG,PG-CPM,Nadunumu,no,AYNC,NDN
Aua Island Airport,-1.460555556,143.0647222,4,OC,PG,PG-MRL,Aua Island,no,AYND,AUI
Negarbo(Negabo) Airport,-6.567778,144.703058,4500,OC,PG,PG-CPK,Negarbo,no,AYNE,GBF
Nuguria Airstrip,-3.4075,154.7383,30,OC,PG,PG-NSB,Nuguria Island,no,AYNI,NUG
Namudi Airport,-9.47375,148.3294167,1044,OC,PG,PG-NPP,Namudi,no,AYNJ,NDI
Kasonombe Airport,-6.3819,146.9859,5800,OC,PG,PG-MPL,Kasonombe,no,AYNM,KSB
Kandep Airport,-5.840611111,143.5072222,7710,OC,PG,PG-EPW,Kandep,no,AYNN,KDP
Nomane Airport,-6.32183,145.070667,6032,OC,PG,PG-CPK,Namane,no,AYNO,NMN
Bunsil Airport,-5.7243,147.8667,201,OC,PG,PG-MPL,Bunsil - Umboi Island,no,AYNS,BXZ
Nuku Airport,-3.676651,142.484334,870,OC,PG,PG-SAN,Nuku,no,AYNU,UKU
Namatanai Airport,-3.6695,152.438,150,OC,PG,PG-NIK,Namatanai,no,AYNX,ATN
Nambaiyufa Airport,-6.2412,145.2424,5550,OC,PG,PG-CPK,Nambaiyufa,no,AYNY,NBA
Nadzab Tomodachi International Airport,-6.567995,146.726544,239,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE
Obo Airport,-7.590622421,141.3242626,29,OC,PG,PG-WPD,Obo,yes,AYOB,OBX
Konge Airport,-6.2239,147.2152,5900,OC,PG,PG-MPL,Konge,no,AYOE,KGB
Okao Airport,-5.556666667,141.0327778,450,OC,PG,PG-WPD,Okao,no,AYOF,OKV
Ogeranang Airport,-6.46675,147.3641667,5850,OC,PG,PG-MPL,,no,AYOG,OGE
Oksapmin Airport,-5.2261,142.2259,5140,OC,PG,PG-SAN,Oksapmin,no,AYOJ,OKP
Komako Airport,-7.3984,145.8827,3960,OC,PG,PG-GPK,Komako,no,AYOK,HOC
Kol Airport,-5.731166667,144.846,5350,OC,PG,PG-JWK,Kol,no,AYOL,KQL
Omora Airport,-7.827777778,147.0806389,2540,OC,PG,PG-MPL,Omora,no,AYOM,OSE
Komo-Manda Airport,-6.0682,142.8598,5057,OC,PG,PG-HLA,Komo,no,AYOO,KOM
Kosipe Airport,-8.450716,147.209195,6350,OC,PG,PG-CPM,Kosipe Mission,no,AYOP,KSP
Komaio Airport,-7.2714,143.5952,28,OC,PG,PG-GPK,Komaio,no,AYOQ,KCJ
Olsobip Airport,-5.389722222,141.5152778,1500,OC,PG,PG-WPD,Olsobip,no,AYOV,OLQ
Koroba Airport,-5.6952,142.7441,5638,OC,PG,PG-HLA,Koroba,no,AYOW,KDE
Paiela Airport,-5.372407,142.975774,6100,OC,PG,PG-EPW,Paiela,no,AYPB,PLE
Pangoa Airport,-7.0226,141.5605,60,OC,PG,PG-WPD,Pangoa,no,AYPC,PGB
Pindiu Airport,-6.445138889,147.5158333,2995,OC,PG,PG-MPL,Pindiu,no,AYPD,PDI
April River Airport,-4.676666667,142.5401389,220,OC,PG,PG-ESW,April River,no,AYPE,APR
Pangia Airport,-6.386,144.1084,5340,OC,PG,PG-SHM,Pangia,no,AYPG,PGN
Pimaga Airport,-6.499166667,143.5102778,2745,OC,PG,PG-SHM,Pimaga,no,AYPJ,PMP
Mapoda Airport,-7.979,143.1694,45,OC,PG,PG-WPD,Mapoda,no,AYPO,MPF
Pumani Airport,-9.7469,149.4766,427,OC,PG,PG-MBA,Pumani,no,AYPQ,PMN
Port Moresby Jacksons International Airport,-9.443380356,147.22000122070312,146,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM
Karawari Airstrip,-4.596666667,143.5225,70,OC,PG,PG-ESW,Amboin,no,AYQA,KRJ
Tumolbil Airport,-4.7748,141.0133,3590,OC,PG,PG-SAN,Tumolbil,no,AYQL,TLP
Sopu Airport,-8.3038,147.1659,6580,OC,PG,PG-CPM,Sopu,no,AYQO,SPH
Ononge Airport,-8.674361111,147.2624167,5800,OC,PG,PG-CPM,Onange Mission,no,AYQQ,ONB
Sialum Airport,-6.0908,147.5955,170,OC,PG,PG-MPL,Sialum,no,AYQS,SXA
Kira Airport,-8.065111111,147.3320278,1700,OC,PG,PG-NPP,Kira,no,AYRA,KIQ
Raba Raba Airport,-9.971111111,149.8322222,170,OC,PG,PG-MBA,Rabaraba,no,AYRE,RBP
Rumginae Airport,-5.897222222,141.2716667,160,OC,PG,PG-WPD,,no,AYRG,RMN
Karimui Airport,-6.4921,144.823,3640,OC,PG,PG-CPK,Karimui,no,AYRI,KMR
Kairuku Airport,-8.817000054,146.5243833,45,OC,PG,PG-CPM,Yule Island,no,AYRK,RKU
Maramuni Airport,-5.13,143.4829,5160,OC,PG,PG-EPW,Maramuni,no,AYRM,MWI
Kakoro(Koroko) Airstrip,-7.834666667,146.5335,230,OC,PG,PG-GPK,Kakoro,no,AYRO,KOR
Suabi Airport,-6.104444444,142.2783333,465,OC,PG,PG-WPD,,no,AYSA,SBE
Saidor Airport,-5.627138889,146.4627778,83,OC,PG,PG-MPM,Saidor,no,AYSD,SDI
Simberi Airport,-2.662222222,151.9977778,10,OC,PG,PG-NIK,Simberi Island,no,AYSE,NIS
Safia Airport,-9.593055556,148.6361111,430,OC,PG,PG-NPP,Safia,no,AYSF,SFU
Sila Airport,-9.073555556,148.38925,2230,OC,PG,PG-NPP,Sila Mission,no,AYSG,SIL
Sabah Airport,-5.5765,155.0489,10,OC,PG,PG-NSB,Sabah,no,AYSH,SBV
Simbai Airport,-5.278611111,144.5447222,5804,OC,PG,PG-MPM,Simbai,no,AYSJ,SIM
Sengapi Airstrip,-5.125833333,144.3236111,6242,OC,PG,PG-MPM,Sengapi,no,AYSK,SGK
Sehulea Airport,-9.964527778,151.1618611,30,OC,PG,PG-MBA,Sehulea,no,AYSL,SXH
Selbang Airport,-5.315,141.752,5130,OC,PG,PG-WPD,Selbang,no,AYSO,SBC
Sapmanga Airport,-6.075277778,146.8111111,2912,OC,PG,PG-MPL,Sapmanga,no,AYSP,SMH
Sasereme Airport,-7.6217,142.868,121,OC,PG,PG-WPD,Sasereme,yes,AYSS,TDS
Suki Airport,-8.0466,141.7222,24,OC,PG,PG-WPD,Suki,no,AYSU,SKC
Sauren Airport,-5.9701,148.8543,46,OC,PG,PG-WBK,Sauren,no,AYSV,SXW
Satwag Airport,-6.139555556,147.2791667,4185,OC,PG,PG-MPL,Satwag,no,AYSW,SWG
Masa Airport,-6.345,147.591,5900,OC,PG,PG-MPL,Masa,no,AYSX,MBV
Tari Airport,-5.845,142.947998,5500,OC,PG,PG-HLA,Tari,yes,AYTA,TIZ
Tabubil Airport,-5.280471,141.227576,1570,OC,PG,PG-WPD,Tabubil,yes,AYTB,TBG
Telefomin Airport,-5.12608,141.641922,4950,OC,PG,PG-SAN,Telefomin,no,AYTE,TFM
Tetebedi Airport,-9.1586,148.0686,3365,OC,PG,PG-NPP,Tetebedi,no,AYTF,TDB
Tagula Airport,-11.33111111,153.2029167,59,OC,PG,PG-MBA,Sudest Island,no,AYTG,TGL
Tifalmin Airport,-5.117249,141.418076,4735,OC,PG,PG-SAN,Tifalmin,no,AYTH,TFB
Tapini Airport,-8.356666667,146.9891667,3100,OC,PG,PG-CPM,Tapini,yes,AYTI,TPI
Tokua Airport,-4.34046,152.380005,49,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB
Tekin Airport,-5.243667,142.165194,5785,OC,PG,PG-SAN,Tekin,no,AYTN,TKW
Kamberatoro Airport,-3.600556,141.051667,1350,OC,PG,PG-SAN,Kamberatoro Mission,no,AYTO,KDQ
Tep Tep Airport,-5.9553,146.5595,7011,OC,PG,PG-MPM,Teptep,no,AYTP,TEP
Tarabo Airport,-6.466666667,145.5322222,6100,OC,PG,PG-EHG,Tarabo,no,AYTR,TBQ
Tsewi Airport,-7.0695,146.1272,4185,OC,PG,PG-MPL,Tsewi,no,AYTS,TSW
Tarakbits Airport,-5.614,141.0421,281,OC,PG,PG-WPD,Tarakbits,no,AYTT,TRJ
